Year,Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American IndiaNAlaska Native,Multiple Races,Total
2019,Alabama,359300,298600,51700,7100,2900,16600,736300
2019,Alaska,29100,NA,7300,NA,25400,4000,75100
2019,Arizona,352600,53600,409700,28000,80100,26600,950700
2019,Arkansas,282800,128600,45600,7000,2600,15900,482500
2019,California,1176100,397900,2296700,522500,28200,137900,4559400
2019,Colorado,266400,41600,174400,15400,5300,22700,525800
2019,Connecticut,130800,63700,128300,14100,NA,12500,351600
2019,Delaware,42400,35600,19200,3100,NA,NA,1.03E+05
2019,District of Columbia,12600,70700,6700,3200,NA,NA,95900
2019,Florida,1024900,623800,879300,59400,5600,75500,2668600
2019,Georgia,485500,615000,199200,40900,NA,36500,1381600
2019,Hawaii,27700,NA,18900,60700,NA,21700,131200
2019,Idaho,137900,NA,42000,4700,4400,4800,194100
2019,Illinois,594700,405300,296900,70900,2400,34400,1404700
2019,Indiana,510800,150100,72000,21300,2300,35000,791500
2019,Iowa,257400,36300,35200,8500,3400,8300,349200
2019,Kansas,189900,31900,71200,10300,3900,16000,323200
2019,Kentucky,547800,81400,33900,9200,NA,21400,694700
2019,Louisiana,330400,421200,59600,8500,4100,19700,843400
2019,Maine,123800,NA,NA,NA,1500,3700,137900
2019,Maryland,181200,222800,72500,30400,2200,23300,532400
2019,Massachusetts,305000,82800,158200,48000,4400,28200,626600
2019,Michigan,722900,348200,101900,33100,10300,62300,1278700
2019,Minnesota,287600,95300,45400,25900,18100,22800,495200
2019,Mississippi,189700,329100,26500,3200,4000,8300,560700
2019,Missouri,517000,133300,45100,17800,5300,28000,746500
2019,Montana,97700,NA,8700,NA,21300,6500,136300
2019,Nebraska,119600,13000,42100,7000,3200,7600,192500
2019,Nevada,142800,59200,148900,27300,3900,12800,394900
2019,New Hampshire,85600,NA,5600,NA,NA,2300,98200
2019,New Jersey,264300,176700,286700,48400,NA,20900,798300
2019,New Mexico,85500,7700,210300,4300,48100,6300,362300
2019,New York,944800,505600,676700,217900,10100,82700,2437700
2019,North Carolina,601800,448700,213300,23700,30100,53000,1370600
2019,North Dakota,50900,NA,4600,NA,14400,NA,80100
2019,Ohio,888600,372800,107400,25800,3300,78500,1476400
2019,Oklahoma,308600,74000,93800,12500,57100,45900,592000
2019,Oregon,311600,19900,89200,24000,7200,23500,475400
2019,Pennsylvania,815200,315000,260400,56000,4600,50400,1501600
2019,Rhode Island,50800,14600,37000,2100,NA,4300,109200
2019,South Carolina,293500,303200,60600,8300,3000,18000,686600
2019,South Dakota,53600,NA,NA,NA,30500,NA,93800
2019,Tennessee,547700,231600,94400,8900,NA,34600,922000
2019,Texas,924900,606300,2111600,131500,9200,64200,3847700
2019,Utah,181100,14300,71900,12000,7300,10400,296900
2019,Vermont,54600,NA,1300,NA,NA,NA,60800
2019,Virginia,383800,248600,98700,38800,NA,36400,807400
2019,Washington,407300,44500,157700,58100,15600,37300,720500
2019,West Virginia,242100,15300,NA,NA,NA,9700,274200
2019,Wisconsin,343900,85400,77900,18400,8800,17400,551900
2019,Wyoming,41500,NA,8300,NA,NA,2300,56000
2019,Puerto Rico,14200,NA,1354500,NA,NA,5300,1376200
2018,Alabama,356300,342700,69200,5700,3400,20600,797800
2018,Alaska,30600,NA,2400,NA,23400,6100,76100
2018,Arizona,341500,55500,430100,29300,93700,23800,973900
2018,Arkansas,289100,133300,57400,9800,NA,16300,508200
2018,California,1275500,406400,2526600,571200,19800,141200,4940800
2018,Colorado,282800,37500,176300,17400,7000,20700,541700
2018,Connecticut,137600,62000,133400,13800,NA,11000,358600
2018,Delaware,46800,36300,19200,3100,NA,4800,1.11E+05
2018,District of Columbia,15700,81000,9300,NA,NA,NA,111000
2018,Florida,1075800,655600,912200,72600,6200,68800,2791200
2018,Georgia,533900,624600,215200,44300,3200,46000,1467200
2018,Hawaii,26700,NA,18200,51600,NA,30200,128200
2018,Idaho,145800,NA,45100,NA,4200,6100,206600
2018,Illinois,633400,401200,324200,81900,NA,41900,1485400
2018,Indiana,530300,155200,100000,28400,2200,34700,850800
2018,Iowa,242300,36500,35500,12800,NA,15100,343200
2018,Kansas,197700,41800,74400,7000,2600,20500,344000
2018,Kentucky,559500,94100,37300,11200,NA,19600,723300
2018,Louisiana,322100,432200,51500,10400,NA,23700,845200
2018,Maine,129200,4300,3700,NA,NA,5600,144900
2018,Maryland,173100,219400,80000,26300,NA,17600,518300
2018,Massachusetts,319900,79600,192300,50600,NA,22300,666400
2018,Michigan,805000,359500,99800,42000,11800,48600,1366700
2018,Minnesota,312700,98400,51800,33000,16300,21900,534000
2018,Mississippi,201300,335800,19100,6300,4700,8700,575800
2018,Missouri,517300,168100,50300,9200,3500,33100,781500
2018,Montana,96200,NA,NA,NA,17200,7000,125200
2018,Nebraska,127300,17300,49200,7100,4300,9600,214800
2018,Nevada,133700,53400,152700,20300,7600,20300,388100
2018,New Hampshire,78900,NA,6800,3700,NA,NA,94900
2018,New Jersey,251900,180900,310600,57400,NA,18700,820300
