State FIPS code,Name,Year,Total exemptions,Poor exemptions,Age 65 and over exemptions,Age 65 and over poor exemptions,Child exemptions,Poor child exemptions,Total exemptions under age 65,Poor exemptions under age 65,Median AGI,Mean AGI
01,Alabama,1989," 3,367,441 "," 634,363 "," 213,228 "," 30,357 "," 1,145,821 "," 260,472 "," 3,154,213 "," 604,006 "," 18,271 "," 26,487 "
01,Alabama,1990," 3,427,361 "," 676,616 "," 223,095 "," 34,114 "," 1,175,534 "," 281,392 "," 3,204,266 "," 642,502 "," 18,719 "," 27,300 "
01,Alabama,1991," 3,471,467 "," 720,465 "," 229,666 "," 36,826 "," 1,193,227 "," 304,653 "," 3,241,801 "," 683,639 "," 18,929 "," 27,941 "
01,Alabama,1992," 3,494,455 "," 711,496 "," 227,683 "," 35,158 "," 1,210,348 "," 305,209 "," 3,266,772 "," 676,338 "," 19,508 "," 29,397 "
01,Alabama,1993," 3,518,338 "," 728,239 "," 227,765 "," 35,485 "," 1,220,397 "," 314,438 "," 3,290,573 "," 692,754 "," 19,775 "," 29,846 "
01,Alabama,1994," 3,503,312 "," 690,162 "," 232,051 "," 34,907 "," 1,188,460 "," 288,014 "," 3,271,261 "," 655,255 "," 20,521 "," 31,198 "
01,Alabama,1995," 3,525,701 "," 693,824 "," 238,896 "," 32,499 "," 1,190,110 "," 290,606 "," 3,286,805 "," 661,325 "," 21,196 "," 32,702 "
01,Alabama,1996," 3,568,799 "," 722,793 "," 247,308 "," 33,515 "," 1,202,066 "," 302,872 "," 3,321,491 "," 689,278 "," 21,667 "," 33,677 "
01,Alabama,1997," 3,565,015 "," 700,089 "," 249,603 "," 31,461 "," 1,190,531 "," 294,993 "," 3,315,412 "," 668,628 "," 22,631 "," 34,690 "
01,Alabama,1998," 3,580,266 "," 665,117 "," 260,303 "," 31,203 "," 1,180,910 "," 276,637 "," 3,319,963 "," 633,914 "," 23,788 "," 37,348 "
01,Alabama,1999," 3,663,808 "," 663,241 "," 273,309 "," 33,430 "," 1,206,280 "," 274,080 "," 3,390,499 "," 629,811 "," 24,858 "," 40,067 "
01,Alabama,2000," 3,666,785 "," 670,305 "," 277,776 "," 33,796 "," 1,208,996 "," 277,615 "," 3,389,009 "," 636,509 "," 25,679 "," 41,605 "
01,Alabama,2001," 3,664,872 "," 685,046 "," 288,706 "," 37,538 "," 1,205,133 "," 281,634 "," 3,376,166 "," 647,508 "," 26,113 "," 41,421 "
01,Alabama,2002," 3,657,200 "," 696,169 "," 294,181 "," 44,223 "," 1,207,191 "," 284,191 "," 3,363,019 "," 651,946 "," 26,271 "," 41,717 "
01,Alabama,2003," 3,648,330 "," 697,733 "," 299,403 "," 47,079 "," 1,199,389 "," 281,544 "," 3,348,927 "," 650,654 "," 26,786 "," 42,965 "
01,Alabama,2004," 3,666,723 "," 693,979 "," 306,876 "," 48,698 "," 1,197,644 "," 276,698 "," 3,359,847 "," 645,281 "," 27,635 "," 45,624 "
01,Alabama,2005," 3,714,137 "," 701,547 "," 314,902 "," 47,592 "," 1,202,608 "," 278,502 "," 3,399,235 "," 653,955 "," 28,529 "," 48,493 "
01,Alabama,2006," 3,786,797 "," 719,941 "," 336,694 "," 52,708 "," 1,213,161 "," 279,921 "," 3,450,103 "," 667,233 "," 29,572 "," 51,286 "
01,Alabama,2007," 4,197,853 "," 1,045,162 "," 435,069 "," 128,764 "," 1,252,461 "," 302,380 "," 3,762,784 "," 916,398 "," 25,624 "," 46,615 "
01,Alabama,2008," 3,895,531 "," 792,133 "," 366,634 "," 62,320 "," 1,239,270 "," 306,041 "," 3,528,897 "," 729,813 "," 30,632 "," 51,095 "
01,Alabama,2009," 3,878,190 "," 843,724 "," 370,537 "," 67,829 "," 1,250,097 "," 335,846 "," 3,507,653 "," 775,895 "," 29,827 "," 48,808 "
01,Alabama,2010," 3,902,188 "," 851,537 "," 378,291 "," 66,585 "," 1,256,726 "," 341,872 "," 3,523,897 "," 784,952 "," 30,125 "," 49,913 "
01,Alabama,2011," 3,885,841 "," 884,359 "," 391,743 "," 70,523 "," 1,241,894 "," 357,228 "," 3,494,098 "," 813,836 "," 30,461 "," 50,677 "
01,Alabama,2012," 3,853,194 "," 863,323 "," 405,679 "," 70,857 "," 1,235,281 "," 354,677 "," 3,447,515 "," 792,466 "," 31,715 "," 54,125 "
01,Alabama,2013," 3,842,311 "," 858,214 "," 422,028 "," 72,909 "," 1,227,523 "," 352,767 "," 3,420,283 "," 785,305 "," 32,524 "," 53,790 "
01,Alabama,2014," 3,828,425 "," 849,565 "," 436,369 "," 73,115 "," 1,218,203 "," 350,956 "," 3,392,056 "," 776,450 "," 33,530 "," 56,079 "
01,Alabama,2015," 3,819,836 "," 820,342 "," 446,799 "," 73,876 "," 1,213,103 "," 338,505 "," 3,373,037 "," 746,466 "," 34,254 "," 57,836 "
01,Alabama,2016," 3,790,497 "," 803,801 "," 460,055 "," 76,520 "," 1,199,633 "," 331,760 "," 3,330,442 "," 727,281 "," 34,999 "," 59,109 "
01,Alabama,2017," 3,787,331 "," 795,898 "," 476,041 "," 77,569 "," 1,194,044 "," 330,458 "," 3,311,290 "," 718,329 "," 36,120 "," 61,451 "
01,Alabama,2018," 3,770,926 "," 763,872 "," 488,845 "," 77,646 "," 1,182,428 "," 315,174 "," 3,282,081 "," 686,226 "," 37,833 "," 64,233 "
02,Alaska,1989," 458,826 "," 42,831 "," 15,150 "," 1,336 "," 156,514 "," 14,675 "," 443,676 "," 41,495 "," 28,418 "," 37,014 "
02,Alaska,1990," 472,948 "," 47,224 "," 16,188 "," 1,408 "," 160,574 "," 16,335 "," 456,760 "," 45,816 "," 28,754 "," 37,778 "
02,Alaska,1991," 492,111 "," 55,788 "," 16,912 "," 1,623 "," 168,561 "," 20,031 "," 475,199 "," 54,165 "," 28,872 "," 37,999 "
02,Alaska,1992," 496,590 "," 53,783 "," 17,659 "," 1,441 "," 170,622 "," 19,600 "," 478,931 "," 52,342 "," 30,075 "," 39,924 "
02,Alaska,1993," 501,970 "," 56,394 "," 18,429 "," 1,518 "," 172,454 "," 20,912 "," 483,541 "," 54,876 "," 30,406 "," 40,184 "
02,Alaska,1994," 501,036 "," 55,946 "," 19,397 "," 1,573 "," 171,590 "," 20,940 "," 481,639 "," 54,373 "," 31,342 "," 41,265 "
02,Alaska,1995," 504,710 "," 58,909 "," 20,190 "," 1,575 "," 172,926 "," 22,314 "," 484,520 "," 57,334 "," 31,885 "," 42,139 "
02,Alaska,1996," 505,831 "," 61,776 "," 21,046 "," 1,690 "," 172,374 "," 23,395 "," 484,785 "," 60,086 "," 32,125 "," 42,955 "
02,Alaska,1997," 511,026 "," 60,961 "," 21,736 "," 1,675 "," 173,623 "," 23,302 "," 489,290 "," 59,286 "," 33,276 "," 45,078 "
02,Alaska,1998," 520,747 "," 60,007 "," 22,707 "," 1,627 "," 177,067 "," 23,143 "," 498,040 "," 58,380 "," 34,322 "," 46,847 "
02,Alaska,1999," 545,344 "," 59,128 "," 24,906 "," 1,818 "," 184,896 "," 22,485 "," 520,438 "," 57,310 "," 35,839 "," 49,902 "
02,Alaska,2000," 550,388 "," 58,831 "," 25,649 "," 1,951 "," 184,717 "," 21,885 "," 524,739 "," 56,880 "," 36,981 "," 52,687 "
02,Alaska,2001," 560,509 "," 62,537 "," 27,103 "," 2,348 "," 186,723 "," 23,506 "," 533,406 "," 60,189 "," 37,310 "," 52,170 "
02,Alaska,2002," 568,494 "," 65,947 "," 28,023 "," 2,811 "," 188,540 "," 24,352 "," 540,471 "," 63,136 "," 37,082 "," 51,742 "
02,Alaska,2003," 576,697 "," 70,860 "," 29,289 "," 3,453 "," 189,543 "," 25,932 "," 547,408 "," 67,407 "," 37,148 "," 52,582 "
02,Alaska,2004," 582,604 "," 73,942 "," 30,437 "," 3,982 "," 189,667 "," 26,825 "," 552,167 "," 69,960 "," 37,846 "," 54,626 "
02,Alaska,2005," 587,613 "," 77,978 "," 31,428 "," 3,862 "," 189,322 "," 28,749 "," 556,185 "," 74,116 "," 39,006 "," 57,023 "
02,Alaska,2006," 592,740 "," 79,195 "," 33,450 "," 3,903 "," 189,246 "," 29,437 "," 559,290 "," 75,292 "," 40,703 "," 60,487 "
02,Alaska,2007," 628,007 "," 93,339 "," 39,826 "," 7,268 "," 193,662 "," 29,952 "," 588,181 "," 86,071 "," 40,382 "," 61,368 "
02,Alaska,2008," 613,827 "," 68,458 "," 39,302 "," 4,360 "," 190,177 "," 22,958 "," 574,525 "," 64,098 "," 45,413 "," 66,567 "
02,Alaska,2009," 626,606 "," 95,182 "," 40,786 "," 5,534 "," 193,795 "," 33,675 "," 585,820 "," 89,648 "," 42,259 "," 62,824 "
02,Alaska,2010," 645,097 "," 83,905 "," 46,770 "," 5,659 "," 195,105 "," 29,676 "," 598,327 "," 78,246 "," 42,234 "," 64,415 "
02,Alaska,2011," 644,553 "," 95,819 "," 48,306 "," 6,505 "," 193,610 "," 33,326 "," 596,247 "," 89,314 "," 42,994 "," 64,913 "
02,Alaska,2012," 642,988 "," 93,741 "," 51,365 "," 6,866 "," 192,969 "," 33,080 "," 591,623 "," 86,875 "," 44,387 "," 69,072 "
02,Alaska,2013," 636,994 "," 87,335 "," 51,309 "," 6,821 "," 191,250 "," 30,739 "," 585,685 "," 80,514 "," 46,142 "," 69,622 "
02,Alaska,2014," 632,211 "," 80,620 "," 53,858 "," 6,433 "," 189,134 "," 28,878 "," 578,353 "," 74,187 "," 48,788 "," 73,920 "
02,Alaska,2015," 633,840 "," 78,376 "," 56,884 "," 6,549 "," 189,578 "," 27,914 "," 576,956 "," 71,827 "," 49,881 "," 75,503 "
02,Alaska,2016," 626,266 "," 84,270 "," 59,759 "," 7,612 "," 187,888 "," 30,438 "," 566,507 "," 76,658 "," 48,546 "," 72,999 "
02,Alaska,2017," 621,422 "," 83,560 "," 63,185 "," 7,811 "," 185,947 "," 30,430 "," 558,237 "," 75,749 "," 49,538 "," 74,446 "
